Date, Open, High, Low, Close, Volume
01/09/13, 12200, 12200, 12000, 12000, 75
01/08/13, 12150, 12150, 12000, 12000, 60
01/07/13, 12000, 12000, 11980, 12000, 169
01/04/13, 11960, 11990, 11960, 11990, 13
01/03/13, 11895, 11970, 11895, 11900, 112
01/02/13, 11800, 11845, 11800, 11845, 41
12/28/12, 11895, 11895, 11310, 11800, 177
12/27/12, 11525, 11890, 11525, 11890, 9
12/21/12, 11945, 11950, 11520, 11520, 440
12/20/12, 11950, 11950, 11310, 11310, 288
12/19/12, 11950, 11960, 11950, 11960, 1266
12/18/12, 11990, 11995, 11960, 11960, 360
12/17/12, 11950, 11950, 11950, 11950, 40
12/14/12, 12000, 12000, 11920, 11920, 12
12/13/12, 11950, 12000, 11950, 12000, 80
12/12/12, 12000, 12000, 11995, 11995, 207
12/11/12, 12250, 12250, 12000, 12000, 284
12/10/12, 11900, 12245, 11855, 12010, 43
12/07/12, 12195, 12200, 12195, 12200, 160
12/06/12, 12000, 12000, 11850, 11850, 72
12/04/12, 12000, 12200, 12000, 12200, 263
12/03/12, 11995, 12100, 11995, 11995, 213
11/30/12, 11995, 11995, 11995, 11995, 2
11/28/12, 11950, 11950, 11850, 11850, 65
11/27/12, 11995, 12000, 11995, 12000, 50
11/23/12, 12030, 12030, 12000, 12000, 17
11/22/12, 12000, 12000, 11900, 11900, 45
11/21/12, 11940, 11945, 11940, 11940, 27
11/20/12, 12000, 12095, 11655, 11755, 141
11/19/12, 12150, 12150, 11815, 12000, 178
11/16/12, 12030, 12200, 12000, 12020, 325
11/15/12, 12015, 12020, 11900, 12000, 233
11/14/12, 12100, 12200, 12015, 12015, 73
11/13/12, 12150, 12150, 12100, 12100, 34
11/12/12, 12120, 12150, 12060, 12075, 108
11/09/12, 12155, 12155, 12110, 12110, 201
11/08/12, 12250, 12250, 12150, 12150, 217
11/07/12, 12260, 12260, 12250, 12250, 67
11/06/12, 12400, 12400, 12400, 12400, 10
11/05/12, 12500, 12500, 12500, 12500, 4
10/31/12, 12500, 12500, 12500, 12500, 63
10/30/12, 12200, 12650, 12200, 12600, 3038
10/29/12, 12170, 12170, 12150, 12150, 177
10/26/12, 12250, 12250, 12170, 12170, 17
10/25/12, 12250, 12250, 12170, 12170, 50
10/24/12, 12295, 12295, 12200, 12200, 231
10/19/12, 12250, 12250, 12250, 12250, 22
10/18/12, 12250, 12250, 12250, 12250, 13
10/17/12, 12240, 12240, 12240, 12240, 10
10/16/12, 12250, 12250, 12250, 12250, 103
10/15/12, 12250, 12250, 12050, 12250, 137
10/12/12, 12150, 12150, 12150, 12150, 5
10/11/12, 12110, 12150, 12105, 12150, 80
10/10/12, 12250, 12250, 12110, 12110, 69
10/05/12, 12350, 12350, 12300, 12300, 267
10/04/12, 12300, 12300, 12300, 12300, 20
10/03/12, 12200, 12395, 12200, 12395, 174
10/02/12, 12250, 12250, 12200, 12200, 82
09/28/12, 12280, 12350, 12250, 12300, 357
09/27/12, 12280, 12280, 12280, 12280, 10
09/26/12, 12200, 12215, 12150, 12200, 97
09/25/12, 12290, 12295, 12280, 12280, 55
09/24/12, 12200, 12200, 12100, 12200, 22
09/21/12, 12100, 12200, 12100, 12200, 79
09/20/12, 12200, 12200, 12100, 12100, 67
09/19/12, 12200, 12220, 12190, 12200, 122
09/18/12, 12300, 12300, 12200, 12200, 302
09/17/12, 12300, 12300, 12290, 12300, 123
09/14/12, 12300, 12305, 12250, 12250, 45
09/13/12, 12300, 12300, 12300, 12300, 100
09/12/12, 12400, 12400, 12400, 12400, 4
09/11/12, 12210, 12500, 12210, 12500, 34
09/10/12, 12400, 12400, 12205, 12205, 253
09/07/12, 12400, 12600, 12300, 12500, 358
09/06/12, 12290, 12500, 12245, 12500, 530
09/05/12, 12245, 12245, 12245, 12245, 42
09/04/12, 12295, 12300, 12250, 12250, 213
09/03/12, 12250, 12275, 12250, 12250, 342
08/31/12, 12100, 12285, 12100, 12285, 41
08/30/12, 11990, 12000, 11990, 12000, 60
08/29/12, 12000, 12000, 12000, 12000, 55
08/28/12, 12120, 12120, 11950, 12000, 236
08/24/12, 12120, 12150, 12100, 12150, 76
08/23/12, 12200, 12200, 12200, 12200, 4
08/22/12, 12300, 12300, 12110, 12110, 27
08/21/12, 12300, 12300, 12300, 12300, 2903
08/17/12, 12100, 12300, 12000, 12300, 347
08/16/12, 12080, 12300, 12080, 12300, 110
08/15/12, 12685, 12690, 12100, 12100, 786
08/14/12, 13350, 13395, 13000, 13000, 1691
08/13/12, 12995, 14265, 12995, 13000, 1810
08/10/12, 12985, 13100, 12970, 12970, 378
08/09/12, 12765, 12985, 12765, 12900, 196
08/08/12, 12960, 13000, 12950, 12950, 531
08/07/12, 12985, 13000, 12950, 12960, 413
08/06/12, 12995, 13000, 12950, 13000, 451
08/03/12, 12990, 12990, 12990, 12990, 90
08/02/12, 12960, 13000, 12960, 13000, 21
08/01/12, 13000, 13000, 12955, 13000, 376
07/31/12, 13000, 13000, 12955, 13000, 76
07/30/12, 13000, 13000, 12995, 12995, 53
07/27/12, 13000, 13000, 12970, 12970, 72
07/26/12, 12950, 13000, 12950, 13000, 43
07/25/12, 13000, 13000, 12950, 12950, 82
07/24/12, 12900, 12925, 12900, 12925, 47
07/23/12, 13000, 13000, 12820, 12820, 50
07/20/12, 13000, 13000, 12900, 12900, 1050
07/19/12, 13000, 13000, 13000, 13000, 55
07/18/12, 13190, 13190, 12900, 12900, 190
07/17/12, 13050, 13050, 13000, 13000, 51
